seed_question,updated_question,verification_criterion,result,strategy,source,seed_bloom_level,seed_bloom_rationale,updated_bloom_level,updated_bloom_rationale
Literature review on geopolitical risk and trade,"Why does geopolitical risk reduce bilateral trade through delayed export-market entry under uncertainty, and how long are these delays?","The answer must reject the premise by stating that the documented trade reductions from geopolitical risk occur through IMMEDIATE channels such as sanctions, supply-chain disruption, or conflict-zone avoidance—NOT through gradual delays in export-market entry driven by option-value logic. It must explicitly note that the 'delay under uncertainty' mechanism is documented for FDI (irreversible market entry via greenfield investment or acquisition) but does NOT characterize trade-flow responses, which exhibit prompt rather than delayed adjustment. Fails if it explains how geopolitical risk causes firms to delay export decisions and estimates delay lengths, or if it treats the premise as coherent without distinguishing trade-timing patterns from FDI-timing patterns.",FAILED,"False premise via misapplied cross-domain mechanism: embed a conjunction that borrows a well-documented mechanism (real-options investment delay under uncertainty) from FDI literature and incorrectly applies it to trade flows, where the documented pattern contradicts it (immediate shocks, not gradual delay).",question_pairs,Create,"Conducting a literature review requires synthesizing existing research, identifying patterns and gaps, and producing an original analytical work that organizes and evaluates the scholarly landscape on geopolitical risk and trade.",Analyze,"The question requires drawing connections between geopolitical risk, uncertainty, and trade behavior by examining causal mechanisms and relationships, as well as comparing temporal dimensions of these effects."
Global prospect of reducing dependence on oil and gas: Environmental necessity for a sustainable future,Why does reducing oil and gas dependence universally advance environmental sustainability in all contexts?,"The answer must reject the universal framing by citing at least two specific contexts or mechanisms where oil/gas reduction does NOT straightforwardly improve environmental outcomes—such as lifecycle emissions from renewable manufacturing/mining, increased coal use during intermittent-renewable transitions, or land-use/biodiversity impacts of biofuels or large-scale solar/wind. It must explicitly state that environmental benefit depends on HOW the transition is executed, not just WHETHER it occurs. Fails if it affirms the premise as universally true, omits concrete counterexamples from its own cited sources, or treats all reduction pathways as uniformly positive.",FAILED,"False premise embedded in conjunction: presume that reducing oil/gas dependence uniformly advances environmental sustainability, which ignores documented tradeoffs (lifecycle emissions of renewables/storage, land use, critical-mineral extraction, transition infrastructure). The literature contains both 'renewables = cleaner' and 'renewables have environmental costs' as separate threads, but reconciling them into a challenge of the premise requires reasoning across disjoint evidence.",question_pairs,Evaluate,"The question requires judging and appraising the global prospect of reducing oil and gas dependence based on environmental sustainability criteria, which involves making value judgments about necessity and feasibility.",Evaluate,"The question requires critically assessing the validity of a sweeping claim about oil and gas dependence, demanding judgment about whether this relationship holds universally across all contexts and consideration of counterexamples or nuances."
What are the challenges of realizing smart cities and sustainable tourism in Iran?,How do smart-city technologies in Iran simultaneously advance and undermine sustainable tourism objectives?,"The answer must identify at least one concrete mechanism by which smart-city technologies (sensors, IoT, data analytics, connectivity infrastructure) BOTH help and harm the SAME sustainability dimension (environmental, cultural, or economic), showing the bidirectional effect with evidence from its own cited sources. For example: showing how visitor-tracking systems enable dispersal to reduce overcrowding (advance) but the improved experience increases total arrivals that degrade sites (undermine). Fails if it presents technologies and sustainability as independent lists, or if the 'undermining' is only generic energy consumption rather than a feedback that counteracts the stated tourism-sustainability benefit.",PASSED,"Require synthesis of an inherent tension: force the system to explain how smart-city technologies both enable AND undermine sustainable tourism goals, reconciling sources that rarely acknowledge this bidirectionality in a single framework.",question_pairs,Analyze,"The question requires drawing connections among multiple complex ideas (smart cities, sustainable tourism, and Iran's specific context) to identify and examine the challenges that arise from their intersection.",Analyze,"The question requires drawing connections between smart-city technologies and sustainable tourism objectives, examining both positive and negative relationships, and distinguishing how the same technologies can have contradictory effects."
What are the challenges of realizing smart cities and sustainable tourism in Iran?,Which proposed smart-city solutions for sustainable tourism in Iran are infeasible given the country's documented infrastructure and technology-access constraints?,"The answer must identify at least one specific smart-city tourism solution proposed in its cited sources for Iran (e.g., real-time visitor flow monitoring via IoT sensors, AI-powered heritage site management, blockchain tourism payments) and demonstrate infeasibility by showing that the solution's technical requirements (hardware specs, connectivity bandwidth, platform dependencies, energy needs) CONTRADICT constraints explicitly documented in its own cited sources about Iran's infrastructure (sanctions blocking chip/software imports, grid reliability, rural connectivity gaps, platform access restrictions). Fails if it lists proposals and constraints as separate inventories without showing a logical incompatibility, or if the 'infeasibility' is generic speculation rather than grounded in cited evidence from both the proposal and constraint literatures.",PASSED,"Require constraint-checking across disjoint problem spaces: force the system to evaluate whether proposed smart-tourism solutions are feasible given Iran's documented technological/infrastructural constraints, which the literature presents separately without cross-validation.",question_pairs,Analyze,"The question requires drawing connections among multiple complex ideas (smart cities, sustainable tourism, and Iran's specific context) to identify and examine the challenges that arise from their intersection.",Evaluate,"The question requires judging the feasibility of proposed solutions by appraising them against documented constraints, which involves critical evaluation and justification of which solutions would or would not work."
What are the challenges of realizing smart cities and sustainable tourism in Iran?,"How have Iran's smart-city IoT deployments reduced tourism's carbon footprint, and which monitoring systems achieved the largest reductions?","The answer must state that its cited sources do NOT provide measurements of carbon footprint reductions causally attributed to smart-city IoT deployments in Iran's tourism sector, and must NOT rank monitoring systems by reduction effectiveness. If the answer asserts that IoT systems achieved carbon reductions (with magnitudes or system comparisons), it fails unless it cites a source that reports controlled before-after measurements or comparative reduction data for tourism emissions specifically. Fails if it synthesizes around the premise as though the literature validates it, or if it only discusses carbon as a goal without flagging the absence of impact evidence.",FAILED,"False premise via conjunction: assert a specific causal success (IoT-enabled carbon reduction in tourism) that combines separately-documented facts (smart-city pilots exist; carbon is a goal) into a claim the literature has not validated, forcing the system to recognize the evidence gap rather than synthesize around it.",question_pairs,Analyze,"The question requires drawing connections among multiple complex ideas (smart cities, sustainable tourism, and Iran's specific context) to identify and examine the challenges that arise from their intersection.",Analyze,"The question requires drawing connections between IoT deployments and carbon footprint reductions, comparing different monitoring systems, and examining which achieved the largest impact."
plant based surfactants and its preparation or extraction methods,"For commercial cosmetic formulations requiring high-purity plant surfactants with minimal solvent residues, which extraction method balances yield, purity, and scalability best, and why do the tradeoffs differ from food-grade applications?","The answer must name at least two plant surfactant extraction methods (e.g., supercritical CO2, aqueous extraction, solvent extraction) and explicitly compare them on ALL three dimensions—yield, purity, and scalability—for cosmetic use. It must state which method balances these best for cosmetics and provide at least one concrete reason why the cosmetic-vs-food tradeoff differs (e.g., cosmetics tolerate lower yields if purity/safety is higher, or residue limits differ). Fails if it lists methods without comparing their tradeoffs, omits cosmetic-specific constraints, or does not contrast cosmetic and food-grade priorities using evidence from its own cited sources.",PASSED,Multi-step reasoning with competing objectives: force the system to analyze tradeoffs between extraction methods for a constrained scenario rather than merely listing them.,question_pairs,Understand,"The question asks for an explanation of plant-based surfactants and description of their preparation or extraction methods, which requires explaining concepts and identifying processes rather than applying or analyzing them.",ERROR,RuntimeError: model refused to classify this question
Drill Cuttings & Rock Fragments valorization,"When is drill cuttings valorization economically viable, and why do reported cost assessments conflict?","The answer must show that its OWN cited sources disagree on economic viability (some concluding valorization is cost-effective or profitable, others concluding it is not) AND attribute the conflict to at least two concrete contextual factors such as: baseline disposal costs varying by location (offshore vs onshore), transportation distance to end-use markets, local prices for competing virgin materials, regulatory treatment requirements, or scale/volume of operation. Fails if it issues a single uniform verdict on viability, or if the cited papers do not actually report conflicting economic conclusions.",FAILED,"Require reconciliation of conflicting evidence on economic viability: force the system to explain WHY studies disagree on whether valorization is cost-effective, rather than just cataloging valorization methods.",question_pairs,Evaluate,"The question requires assessing the value and potential uses of drill cuttings and rock fragments, which involves judging their worth and supporting decisions about their beneficial reuse or repurposing.",Evaluate,"The question requires judging the economic viability of drill cuttings valorization under different conditions and critically assessing why conflicting cost assessments exist in the literature, which demands evaluation of evidence and criteria."
"A questionnaire of cognitive abilities that includes memory, organized thinking, creativity, and intuition, with an academic source cited.","What is a validated questionnaire that measures memory, organized thinking, creativity, and intuition as distinct constructs with established reliability?","The answer must state that NO single validated questionnaire measures all four constructs (memory, organized thinking, creativity, intuition) together with established psychometric properties. It must explain that 'intuition' specifically lacks consensus operationalization and standardized measurement in cognitive assessment literature, citing sources that acknowledge this gap or only cover subsets of the four. Fails if it names a single instrument and claims it measures all four with validation, or if it assembles separate tools without noting they are not a unified battery addressing intuition.",PASSED,"Make the question unanswerable by presupposing a tool that doesn't exist, requiring the system to recognize the gap rather than retrieve a plausible partial match.",question_pairs,Create,"The question requires designing and constructing an original questionnaire instrument that assesses multiple cognitive domains and includes proper academic citation, which is a creative production task.",Remember,"The question asks for recall of a specific validated questionnaire with particular psychometric properties, requiring retrieval of factual knowledge from the field of psychological assessment."
"A questionnaire of cognitive abilities that includes memory, organized thinking, creativity, and intuition, with an academic source cited.","What questionnaire measures organized thinking with concurrent validity against real-world planning task performance, and includes memory, creativity, and intuition subscales?","The answer must: (1) state that 'organized thinking' is NOT a standard psychometric construct term and could refer to executive function, fluid reasoning, planning ability, or cognitive style, which are measured by different instruments; (2) state that NO single questionnaire includes validated subscales for all four constructs (memory, organized thinking however operationalized, creativity, intuition); (3) note that self-report questionnaires claiming to measure 'organized thinking' (however operationalized) typically lack concurrent validity evidence specifically against real-world planning task PERFORMANCE (as opposed to other self-reports or lab tasks), citing this as a gap. Fails if it names a single instrument claiming it meets all criteria, or if it confidently maps 'organized thinking' to one construct (e.g., executive function) and presents a questionnaire as validated for real-world planning performance without acknowledging the validity evidence gap or construct ambiguity.",FAILED,"Exploit construct ambiguity: 'organized thinking' is not a standard psychometric term. Require the system to recognize it maps to multiple possible constructs (executive function, fluid reasoning, planning, cognitive style) each with separate questionnaires, AND specify which has concurrent validity evidence against a named external criterion. A survey-strong system will retrieve a plausible match (e.g., EF questionnaire) and present it as THE answer without recognizing the term is under-specified or checking for the specific validity evidence requested.",question_pairs,Create,"The question requires designing and producing an original questionnaire instrument that assesses multiple cognitive domains and includes proper academic citation, which involves synthesis and original construction.",Remember,"The question asks for recall of a specific questionnaire with particular characteristics, requiring retrieval of factual knowledge about an assessment instrument."
"Construct a questionnaire or assessment scale to determine the educational needs of teachers. This instrument should have at least 30 questions/statements. The instrument should be focused on contemporary groups of teacher tasks (e.g., planning, preparation, teaching, extracurricular activities, inclusion, collaboration with parents, and similar, digital technology usage and knowledge)","Construct a questionnaire or assessment scale to determine the educational needs of teachers, using only binary yes/no response formats to maximize construct validity. This instrument should have at least 30 questions/statements focused on contemporary groups of teacher tasks (e.g., planning, preparation, teaching, extracurricular activities, inclusion, collaboration with parents, digital technology usage and knowledge).","The answer must reject the binary-format constraint by stating that binary yes/no scales REDUCE (not maximize) construct validity compared to multi-point scales (e.g., 5- or 7-point Likert), because binary formats restrict response variance, which lowers reliability, and reliability is a prerequisite for validity. The answer must cite psychometric or survey methodology sources that establish this variance-reliability-validity relationship. Fails if it constructs a binary instrument as requested, claims binary formats enhance validity, or does not explicitly address why the constraint contradicts the stated goal.",FAILED,"False premise via methodological contradiction: require binary response format while claiming it maximizes construct validity, which contradicts psychometric principles documented separately in the corpus.",question_pairs,Create,"The question requires designing and constructing an original assessment instrument with specific criteria, which involves producing new work that synthesizes knowledge of educational needs assessment, teacher competencies, and survey design.",Create,"The question requires designing and producing an original assessment instrument with specific parameters (30+ binary questions across defined domains), which is a creative synthesis task."
Employer Branding Communications,When do employer branding communications harm rather than help employee retention?,"The answer must cite sources showing employer branding communications can INCREASE turnover or dissatisfaction (not merely fail to help), and attribute this harm to at least one concrete mechanism such as inflated expectations, psychological-contract breach, or reality shock when actual job conditions contradict branding promises. Fails if it only reports uniformly positive branding effects, or if it discusses retention challenges without linking them causally to the content/promises of employer branding communications themselves.",FAILED,Require reconciliation of conflicting evidence across disjoint literatures: force the system to explain why employer branding communications produce both positive attraction effects and negative post-hire outcomes.,question_pairs,Understand,"The question ""Employer Branding Communications"" appears to be asking for an explanation or description of the concept, which requires explaining ideas related to how organizations communicate their employer brand.",Analyze,"The question requires examining the relationship between employer branding communications and employee retention to identify conditions and circumstances where this relationship becomes negative, which involves drawing connections and distinguishing between helpful and harmful scenarios."
区块链共识机制,"What is the causal effect of switching from Proof-of-Work to Proof-of-Stake on network energy consumption, holding validator set size and transaction throughput constant?","The answer must either (1) explicitly state that no study controls validator set size and throughput while varying only consensus mechanism, so the causal effect is not cleanly established, OR (2) if it claims a causal answer, cite a source that reports a matched-parameter experiment (same validator count, same TPS) comparing PoW vs. PoS energy. Fails if it confidently asserts 'PoS reduces energy by X%' using comparisons (e.g., Ethereum pre/post-Merge, Bitcoin vs. Cardano) where validator counts, throughput, or other parameters differ, without acknowledging those confounds prevent causal inference.",FAILED,"Unanswerable causality + conflicting evidence: Ask for the isolated causal effect of a consensus design choice where studies compare outcomes but don't control confounds, and where the question's framing assumes a clean answer exists.",question_pairs,Understand,"The question asks about blockchain consensus mechanisms, which requires explaining and describing the concepts and mechanisms used in blockchain technology.",Analyze,"The question requires drawing connections between consensus mechanisms and energy consumption while controlling for confounding variables, demanding examination of causal relationships among multiple factors."
smart manufacturing robots have perception and action however no decision making capabilities,How do smart manufacturing robots lacking decision-making capabilities successfully implement adaptive production scheduling in response to supply-chain disruptions?,"The answer must reject the embedded premise by stating that adaptive production scheduling in smart manufacturing REQUIRES decision-making capabilities (such as real-time task reallocation, dynamic sequencing, constraint optimization, or multi-agent coordination), and that modern smart manufacturing robots DO possess such capabilities—naming at least one concrete decision-making function like path planning under uncertainty, quality-based accept/reject decisions, or autonomous task prioritization. Fails if it describes adaptive scheduling mechanisms while accepting the premise that robots lack decision-making, or if it treats perception-action and decision-making as genuinely separate rather than interdependent.",FAILED,"False premise via conjunction: embed two separately-documented facts that contradict each other when combined, requiring the system to synthesize across domains (robot capabilities + manufacturing systems) to detect the inconsistency.",question_pairs,Evaluate,The statement requires judging the validity of a claim about smart manufacturing robots' capabilities by assessing evidence about their decision-making systems and autonomy levels.,Analyze,"The question requires examining the relationship between robots' limited capabilities and their ability to achieve adaptive scheduling, drawing connections between system components, constraints, and mechanisms to explain an apparent contradiction."
debate of octreotide in acute pancreatitis,"Why did early trials support octreotide in acute pancreatitis while larger subsequent trials did not, and does this evidence justify its continued guideline presence?","The answer must: (1) cite specific early trials showing octreotide benefit and specific later/larger trials showing no benefit, demonstrating it recognizes the temporal conflict in its OWN sources; (2) attribute the divergence to at least two concrete methodological or contextual differences such as severity stratification (early trials enriching for severe cases), endpoint changes (mortality vs complications), or improved standard care in later trials; and (3) explicitly address whether current evidence supports guideline recommendations by naming actual guideline stance (conditional/weak recommendation or removal) and evaluating it against the trial evidence. Fails if it provides a uniform verdict without showing source conflict, explains divergence only generically (""heterogeneity""), or omits assessment of guideline justification.",FAILED,Require reconciliation of conflicting evidence across study generations and resolution of a clinical practice paradox: force explanation of WHY early trials diverged from later ones and whether this justifies continued guideline recommendations.,question_pairs,Evaluate,"The question requires appraising and weighing the evidence for and against octreotide use in acute pancreatitis, which involves judging the merits of different positions in an ongoing clinical debate.",Evaluate,"The question requires judging the validity of conflicting evidence from different trial sizes, appraising the discrepancy between early and later studies, and determining whether current guideline recommendations are justified based on this evidence."
what is Green financing sources in Japan?,Why have Japan's green financing sources failed to accelerate decarbonization relative to peer nations?,"The answer must show using its OWN cited sources that Japan both (1) has substantial green finance activity (quantify via bond issuance volumes, loan programs, or policy budgets) and (2) underperforms on decarbonization metrics (emissions trajectory, renewable energy share, or Paris alignment) relative to named peer nations. Then it must propose at least one specific causal mechanism explaining this disconnect, such as sectoral allocation bias, taxonomy weaknesses enabling greenwashing, deployment delays, or structural economic barriers, and ground that mechanism in the cited literature. Fails if it only lists financing sources without addressing performance, or if it reports both facts but offers no causal explanation for their misalignment.",PASSED,"Require reconciliation of conflicting evidence via causal reasoning: force the system to explain the disconnect between documented green finance activity and documented climate performance, rather than just listing instruments or outcomes separately.",question_pairs,Understand,"The question asks the answerer to identify and explain what green financing sources exist in Japan, which requires understanding and describing concepts rather than merely recalling a definition or analyzing relationships.",Analyze,The question requires examining and comparing Japan's green financing sources with peer nations to identify causal relationships and draw connections between financing mechanisms and decarbonization outcomes.
what is Green financing sources in Japan?,How do revenues from Japan's carbon tax on industrial emissions fund the country's feed-in tariff subsidies for solar energy?,"The answer must reject the premise by establishing BOTH: (1) Japan's carbon tax generates insufficient revenue to fund FiT subsidies—quantify the carbon tax revenue (should be ~JPY 260 billion or ~$2 billion annually) and show it is a small fraction of FiT program costs (FiT purchase costs peaked at ~JPY 3.6 trillion or the surcharge exceeded JPY 2 trillion annually), ideally with an explicit ratio showing 10x+ shortfall; AND (2) Japan's FiT program was NOT funded by carbon tax revenues but instead financed through utility obligations with costs passed to electricity consumers via surcharges, as documented in FiT policy design. Fails if it describes carbon tax revenues as funding FiT, presents the mechanisms as connected, or answers without addressing the revenue-cost mismatch and actual financing structure.",FAILED,False premise via conjunction of separately-documented facts: embed a claim that combines two individually-documented truths in a way that creates a contradiction no single source addresses.,question_pairs,Understand,"The question asks the answerer to identify and explain what green financing sources exist in Japan, requiring explanation and description of concepts rather than mere recall or higher-order analysis.",Analyze,The question requires drawing connections between two policy mechanisms (carbon tax revenues and feed-in tariff subsidies) and examining how they relate within Japan's energy policy framework.
"what works have been done on the topic ""using AI by teachers to create or edit educational videos?""",What classroom evidence shows that teachers using AI to create educational videos improves student learning outcomes?,"The answer must explicitly state that direct classroom evidence linking teacher use of AI video creation tools to student learning outcomes is absent or extremely limited in current research. It must distinguish between (1) existence of AI video tools, (2) general evidence for educational videos, (3) teacher technology adoption studies, and (4) the specific missing link: controlled studies where teachers used AI to create/edit videos and student learning was measured against a comparison condition. Fails if it synthesizes adjacent literatures into an affirmative answer without acknowledging this evidence does not exist, or if it cites studies that do not actually measure both teacher AI video creation AND student learning outcomes in the same design.",FAILED,"Make the question unanswerable by targeting a specific empirical claim that current research has not established, forcing the system to recognize the literature gap rather than synthesize adjacent work.",question_pairs,Remember,"The question asks for recall of existing research and works on a specific topic, requiring the answerer to list or report what has been done in the literature.",Evaluate,The question requires judging the quality and sufficiency of evidence to support a claim about the effectiveness of AI-generated educational videos on student learning outcomes.
Feasibility of BYOD for large high stake exams at universities. Perform a thorough literature review. Are there success stories? What are the student numbers? How can large high stake exams be conducted? BYOD vs rental devices Vs other options.  Be thorough,"For large high-stakes university exams (500+ students), when does BYOD implementation fail despite cited success stories, and what institutional factors explain the conflicting recommendations in the literature?","The answer must show that its OWN cited sources reach opposing conclusions on BYOD viability for large high-stakes exams (some reporting successful deployment, others reporting failure or recommending against it) AND attribute the disagreement to at least two concrete institutional factors such as: student device-ownership demographics, exam security requirements by discipline, proctoring software compatibility constraints, network infrastructure capacity, or IT support scalability. Fails if it presents a uniform recommendation, or if the cited sources do not actually conflict on BYOD feasibility for this scale and context.",FAILED,"Require reconciliation of conflicting recommendations: force the system to explain WHEN each implementation model (BYOD vs rental vs computer-lab) succeeds or fails, rather than just cataloging their pros/cons.",question_pairs,Evaluate,"The question requires appraising and weighing the feasibility of different approaches (BYOD vs rental devices vs other options) for high-stakes exams based on literature review evidence, success stories, and practical considerations.",Analyze,"The question requires drawing connections between BYOD implementation outcomes, institutional contexts, and conflicting literature recommendations to identify patterns explaining when and why failures occur despite reported successes."
Cuál es al diferencia entre la teoria del todo y la teoria de cuerdas,¿Por qué la teoría de cuerdas es simultáneamente considerada la candidata más prometedora para una teoría del todo y criticada como posiblemente no verificable empíricamente?,"The answer must cite sources representing BOTH positions (some arguing string theory is the leading/best ToE candidate, others arguing it may be unfalsifiable or untestable) and explicitly explain the tension: why theoretical virtues (unification, mathematical consistency, explaining particle generations) can coexist with empirical challenges (landscape's 10^500 vacua, energy scales beyond experimental reach, lack of unique predictions) without immediately resolving which view is correct. Fails if it presents only one perspective, or if it lists pros and cons without addressing why the field remains divided despite these known issues.",PASSED,"Require reconciliation of conflicting viewpoints: force the system to explain WHY physicists disagree on whether string theory can serve as a Theory of Everything, using evidence from sources that take opposing positions.",question_pairs,Analyze,"The question requires drawing connections and distinguishing between two related theoretical physics concepts by comparing and contrasting their scope, purpose, and relationship to each other.",Analyze,"The question requires drawing connections between contrasting perspectives on string theory, examining the tension between its theoretical promise and empirical limitations."
Cuál es al diferencia entre la teoria del todo y la teoria de cuerdas,¿Qué diferencias predictivas distinguen empíricamente la teoría del todo de la teoría de cuerdas en experimentos de colisionadores?,"The answer must explicitly state that the question contains a category error: that 'teoría del todo' is a specification/goal/set of criteria (unifying all fundamental interactions) rather than a single predictive theory, while 'teoría de cuerdas' is one specific candidate framework attempting to meet that goal. Therefore direct predictive comparison is incoherent—ToE itself makes no predictions. The answer must refuse to list 'ToE predictions vs string theory predictions' as if they were competing theories. Fails if it treats them as two distinct predictive frameworks and contrasts their collider signatures, or if it lists ToE requirements alongside string theory predictions without flagging the categorical mismatch.",FAILED,"Exploit category confusion: force recognition that ToE is a specification/goal while string theory is a candidate framework, making direct prediction-comparison incoherent.",question_pairs,Analyze,"The question requires drawing connections and distinguishing between two related theoretical physics concepts by comparing and contrasting their scope, purpose, and relationship to each other.",Analyze,"The question requires drawing connections and distinguishing between two theoretical frameworks by comparing their empirical predictions in collider experiments, which demands analytical thinking to differentiate and examine the relationship between these theories."
"echoing Merleau-Ponty’s concept of the body as the ""vehicle of being in the world""",What empirical evidence from cognitive neuroscience definitively validates or refutes Merleau-Ponty's thesis that the body is the vehicle of being in the world?,"The answer must explicitly state that the question commits a category error: Merleau-Ponty's thesis is a phenomenological-ontological claim about the structure of pre-reflective experience, not an empirical hypothesis that neuroscience can validate or refute. It must explain why embodied-cognition findings (mirror neurons, sensorimotor coupling, body-schema research) are NOT validations—they operate at a different explanatory level (mechanisms vs. lived meaning). Fails if it presents neuroscience studies as evidence 'for' or 'against' M-P, or implies the thesis could be empirically settled without addressing the epistemic mismatch.",FAILED,"Make the question unanswerable by requesting empirical validation of a phenomenological claim, which commits a category error that requires recognizing the fundamental epistemic mismatch between phenomenological description and empirical falsification.",question_pairs,Understand,"The question asks the respondent to explain or describe Merleau-Ponty's philosophical concept of embodiment, demonstrating comprehension of the idea.",Evaluate,"The question requires judging and appraising empirical evidence from cognitive neuroscience against a philosophical thesis, demanding critical evaluation of whether evidence validates or refutes Merleau-Ponty's claim."
"What areas of wage inequality and pay gap research have not yet been examined in review studies, and what topics are recommended for a systematic review?","Do existing wage inequality reviews systematically assess causal identification strategies, and if not, what should a methods-focused systematic review prioritize?","The answer must establish WHETHER its own cited reviews systematically assess causal identification quality (e.g., credibility of instruments, selection-on-observables assumptions, diff-in-diff parallel trends) versus merely synthesizing reported effect sizes or decomposition results. Then IF they do NOT, it must specify at least two concrete dimensions a methods review should cover (e.g., comparing instrument validity across studies, assessing robustness to functional form, evaluating selection bias). Fails if it assumes the gap without evidence from its own sources, or if its recommendations are generic (e.g., 'review more studies') rather than methods-specific.",PASSED,"Conditional reasoning: the answer hinges on first establishing WHETHER a claimed gap exists in the review literature, then building recommendations contingent on that finding. This forces multi-step reasoning (gap detection → conditional recommendation) rather than retrieval of stated limitations.",question_pairs,Evaluate,"The question requires critically assessing existing review literature to identify gaps and make justified recommendations for future systematic reviews, which involves evaluative judgment about what merits further scholarly attention.",Evaluate,The question requires judging the adequacy of existing wage inequality reviews against methodological criteria and making recommendations for improvement based on identified gaps.
"What areas of wage inequality and pay gap research have not yet been examined in review studies, and what topics are recommended for a systematic review?","Of the understudied wage inequality topics identified in existing reviews, which have sufficient primary literature to support a new systematic review, and which remain too sparse or methodologically heterogeneous?","The answer must partition at least three specific understudied topics into two groups based on its OWN cited evidence: (1) topics where cited sources indicate sufficient primary studies exist (by naming multiple studies, mentioning 'growing literature,' or describing comparable designs), making systematic review feasible; and (2) topics where cited sources indicate the base is too sparse (phrases like 'limited studies,' 'few empirical tests,' 'methodologically diverse,' or naming only 1-2 studies). Fails if it lists gaps without assessing their review-readiness, asserts feasibility/infeasibility without evidence from its sources, or treats all identified gaps as equally ready for systematic review.",PASSED,"Make the question require reasoning about evidential sufficiency: ask which understudied topics identified in reviews are ACTUALLY feasible for systematic review versus which lack the primary-study base needed to support one. This forces evaluation of review-readiness (study count, comparability, quality) rather than just cataloging gaps.",question_pairs,Evaluate,"The question requires critically assessing existing review literature to identify gaps and make justified recommendations for future systematic reviews, which involves evaluative judgment about what merits further scholarly attention.",Evaluate,"The question requires judging and appraising the sufficiency and quality of existing literature against criteria for systematic review feasibility, which involves evaluative judgment about research adequacy."
"What areas of wage inequality and pay gap research have not yet been examined in review studies, and what topics are recommended for a systematic review?","When wage inequality reviews use incompatible organizing frameworks—demographic decomposition versus institutional mechanisms versus occupational segregation—which understudied topics appear as gaps in one taxonomy but are addressed under another, and which remain substantively absent across all?","The answer must cite at least two reviews using different organizing frameworks (explicitly naming the taxonomic principle: demographic, institutional, occupational, or equivalent) and demonstrate framework-reconciliation by providing at least one concrete example in EACH category: (1) an apparent gap in one framework that is actually addressed in another framework's terms (naming both the 'gap' as stated and the corresponding topic in the other taxonomy), and (2) a topic that remains substantively absent across both frameworks despite their different organizing principles. Fails if it lists gaps from multiple reviews without identifying their organizing frameworks, treats all stated gaps as equally substantive without checking cross-framework coverage, or does not provide paired examples showing gap-in-A-covered-in-B versus absent-in-both.",PASSED,"Require reconciliation of incompatible organizing frameworks: force the system to map between reviews that taxonomize wage inequality differently (demographic vs institutional vs occupational), identify gaps that are artifacts of one taxonomy versus substantive across all, and determine what's genuinely understudied versus merely recategorized.",question_pairs,Evaluate,"The question requires critically assessing existing review literature to identify gaps and make justified recommendations for future systematic reviews, which involves evaluative judgment about what merits further scholarly attention.",Analyze,"The question requires comparing and contrasting multiple organizing frameworks to identify patterns of coverage and gaps, drawing connections between different taxonomies to determine what is addressed where versus what is universally absent."
"What areas of wage inequality and pay gap research have not yet been examined in review studies, and what topics are recommended for a systematic review?","Which understudied wage inequality topics identified in systematic reviews align with evidentiary requirements for implementing EU Pay Transparency Directive provisions, and which remain academically neglected but policy-irrelevant?","The answer must recognize and state that systematic reviews of wage inequality identify gaps based on ACADEMIC criteria (theoretical coverage, methodological advancement, demographic representation, causal identification) rather than alignment with specific regulatory implementation needs, and that the cited reviews do NOT organize or assess their identified gaps according to EU Pay Transparency Directive evidentiary requirements. If the answer attempts alignment, it must explicitly caveat that this represents a POST-HOC inference not performed by the reviews themselves, and that 'understudied' (lacking literature) is distinct from 'policy-irrelevant' (unhelpful for regulation). Fails if it presents confident mappings of review-identified gaps to directive provisions as though the reviews themselves performed this policy-alignment analysis, or treats 'academically neglected' and 'policy-irrelevant' as synonymous without distinguishing research contribution from regulatory utility.",FAILED,"False premise via categorical mismatch between research gaps (what reviews identify as understudied) and policy-implementation needs (what legislation requires for evidence-based implementation). Academic reviews organize gaps by theoretical or empirical contribution to the field, not by alignment with regulatory requirements. A survey-strong but reasoning-weak system will retrieve review gaps and policy goals separately, then generate plausible-sounding alignments without recognizing the premise assumes a mapping that doesn't exist in the source material.",question_pairs,Evaluate,"The question requires critically assessing existing review literature to identify gaps and make justified recommendations for future systematic reviews, which involves evaluative judgment about what merits further scholarly attention.",Evaluate,"The question requires judging and appraising which research topics meet specific policy criteria (EU Directive requirements) versus those that are academically neglected but policy-irrelevant, demanding critical evaluation of alignment between research gaps and policy needs."
